"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Jul-2024","EQ","166.29","166.50","163.55","164.07","165.44","165.33","164.78","184.60","114.60","5,27,69,925","8,69,54,59,962.33","2,77,640"
"30-Jul-2024","EQ","162.90","165.30","161.31","162.87","164.55","164.07","163.43","184.60","114.60","4,28,24,600","6,99,89,37,220.51","3,09,634"
"29-Jul-2024","EQ","164.70","164.70","162.33","162.55","162.90","162.87","163.32","184.60","114.60","3,17,54,833","5,18,63,46,203.02","2,53,901"
"26-Jul-2024","EQ","158.75","162.95","158.21","157.39","162.62","162.55","161.88","184.60","114.35","4,56,42,032","7,38,86,88,304.32","2,92,607"
"25-Jul-2024","EQ","158.50","158.50","156.90","160.31","157.50","157.39","157.50","184.60","114.35","4,51,55,876","7,11,21,29,022.84","3,40,737"
"24-Jul-2024","EQ","160.02","162.02","159.19","160.02","160.20","160.31","160.83","184.60","114.35","2,80,86,566","4,51,72,54,761.79","2,24,594"
"23-Jul-2024","EQ","161.60","161.97","155.00","160.32","160.19","160.02","159.14","184.60","114.35","3,70,77,411","5,90,06,78,615.09","3,69,290"
"22-Jul-2024","EQ","158.40","160.70","156.41","157.77","160.69","160.32","159.58","184.60","114.35","4,03,53,690","6,43,97,80,658.54","3,88,728"
"19-Jul-2024","EQ","166.00","166.09","157.20","166.36","158.10","157.77","159.86","184.60","114.35","7,79,87,514","12,46,73,82,132.43","6,97,738"
"18-Jul-2024","EQ","167.61","167.61","164.44","167.07","166.45","166.36","165.60","184.60","114.35","3,65,68,852","6,05,58,94,401.51","3,44,341"
"16-Jul-2024","EQ","167.80","169.82","166.70","166.76","167.25","167.07","168.15","184.60","114.35","2,65,06,026","4,45,71,05,771.25","2,28,148"
"15-Jul-2024","EQ","168.69","168.99","165.80","168.69","167.10","166.76","167.02","184.60","114.35","3,26,35,187","5,45,05,97,682.05","3,25,344"
"12-Jul-2024","EQ","170.20","170.39","168.01","168.92","168.10","168.69","168.98","184.60","111.65","3,33,11,402","5,62,87,97,434.72","2,09,844"
"11-Jul-2024","EQ","170.00","170.95","168.67","167.98","169.45","168.92","169.53","184.60","111.65","3,39,87,236","5,76,17,12,816.45","3,28,338"
"10-Jul-2024","EQ","172.50","172.89","167.02","171.80","168.20","167.98","168.76","184.60","111.65","4,15,25,591","7,00,78,41,961.34","3,56,940"
"09-Jul-2024","EQ","173.60","173.70","171.51","172.28","171.94","171.80","172.31","184.60","111.65","2,51,27,904","4,32,99,05,477.88","3,60,530"
"08-Jul-2024","EQ","174.60","175.47","172.09","174.71","172.49","172.28","173.35","184.60","111.65","3,14,79,861","5,45,70,79,671.28","2,56,103"
"05-Jul-2024","EQ","176.20","176.20","173.40","176.29","175.00","174.71","174.65","184.60","111.25","3,81,23,217","6,65,83,21,110.79","2,62,997"
"04-Jul-2024","EQ","177.00","178.19","175.82","176.37","176.50","176.29","176.85","184.60","111.25","2,95,04,744","5,21,78,39,029.17","3,78,450"
"03-Jul-2024","EQ","174.54","176.88","174.40","174.54","176.38","176.37","175.56","184.60","111.25","2,90,90,492","5,10,70,40,274.06","3,39,843"
"02-Jul-2024","EQ","174.47","175.75","173.60","174.07","174.61","174.54","174.54","184.60","111.25","3,33,59,495","5,82,25,81,444.09","3,90,213"
"01-Jul-2024","EQ","174.50","175.99","173.51","174.01","174.25","174.07","174.62","184.60","111.25","2,78,07,688","4,85,58,62,130.02","2,60,872"
"28-Jun-2024","EQ","174.17","177.10","173.57","174.16","174.75","174.01","175.29","184.60","108.10","3,75,21,949","6,57,72,42,858.11","2,75,273"
"27-Jun-2024","EQ","172.56","174.95","171.80","172.56","174.35","174.16","173.41","184.60","108.10","4,97,67,976","8,63,02,91,052.14","3,49,831"
"26-Jun-2024","EQ","175.68","176.00","171.84","175.68","172.80","172.56","172.87","184.60","108.10","4,40,06,436","7,60,71,81,995.48","3,46,807"
"25-Jun-2024","EQ","177.99","179.00","175.25","177.96","175.86","175.68","176.61","184.60","108.10","3,05,99,989","5,40,41,51,626.85","3,25,368"
"24-Jun-2024","EQ","177.44","178.95","175.10","179.94","177.80","177.96","177.26","184.60","108.10","4,75,97,307","8,43,70,45,247.90","3,14,462"
"21-Jun-2024","EQ","179.40","180.90","178.18","182.28","179.94","179.94","179.76","184.60","108.10","6,54,94,855","11,77,36,31,523.51","2,84,687"
"20-Jun-2024","EQ","181.60","182.95","179.37","180.02","182.75","182.28","181.91","184.60","108.10","3,88,37,494","7,06,48,44,872.79","2,78,129"
"19-Jun-2024","EQ","182.45","182.49","179.31","181.12","180.07","180.02","180.63","184.60","108.10","2,74,76,795","4,96,31,57,445.21","1,97,494"
"18-Jun-2024","EQ","183.80","184.60","180.60","183.15","181.25","181.12","182.12","184.60","108.10","3,50,32,118","6,37,98,81,671.57","2,95,636"
"14-Jun-2024","EQ","182.95","183.50","181.40","182.56","182.90","183.15","182.61","184.10","108.10","2,85,09,237","5,20,59,31,798.41","2,32,292"
"13-Jun-2024","EQ","183.40","184.10","180.51","182.23","182.50","182.56","182.23","184.10","108.10","3,66,69,164","6,68,21,15,954.32","3,32,013"
"12-Jun-2024","EQ","182.25","183.87","181.50","181.33","182.47","182.23","182.95","183.87","108.10","3,33,04,643","6,09,30,95,872.19","2,54,524"
"11-Jun-2024","EQ","180.50","183.75","180.50","180.29","181.60","181.33","182.06","183.75","108.10","5,55,55,544","10,11,46,35,970.89","3,24,246"
"10-Jun-2024","EQ","180.21","182.10","177.36","178.90","180.45","180.29","180.40","182.10","108.10","7,42,86,848","13,40,10,77,404.61","3,20,294"
"07-Jun-2024","EQ","172.00","179.65","170.80","172.05","178.85","178.90","177.14","179.65","107.80","8,43,19,867","14,93,61,04,189.40","4,88,851"
"06-Jun-2024","EQ","170.00","174.70","169.40","169.20","172.15","172.05","172.34","177.70","107.80","5,79,20,819","9,98,18,49,630.15","5,02,032"
"05-Jun-2024","EQ","162.15","169.60","159.00","158.95","169.00","169.20","164.36","177.70","107.80","6,00,98,501","9,87,80,09,016.65","4,38,996"
"04-Jun-2024","EQ","174.50","174.65","148.15","174.25","160.00","158.95","160.74","177.70","107.80","12,50,42,158","20,09,89,94,147.15","7,84,621"
"03-Jun-2024","EQ","173.25","175.00","168.85","167.20","174.35","174.25","172.44","177.70","107.80","8,63,97,540","14,89,83,11,518.85","4,10,714"
"31-May-2024","EQ","166.05","167.95","164.00","164.15","167.45","167.20","166.27","177.70","105.60","8,37,13,848","13,91,93,26,623.35","3,59,449"
"30-May-2024","EQ","172.00","172.00","163.35","174.25","165.20","164.15","166.88","177.70","105.60","10,88,13,875","18,15,84,03,070.95","5,73,678"
"29-May-2024","EQ","174.75","176.00","173.50","174.90","174.00","174.25","174.52","177.70","105.60","3,65,75,550","6,38,32,86,199.70","1,82,235"
"28-May-2024","EQ","175.90","177.50","173.45","175.50","175.10","174.90","175.61","177.70","105.60","3,92,08,456","6,88,55,22,861.00","2,08,812"
"27-May-2024","EQ","177.70","177.70","174.85","174.85","175.70","175.50","176.22","177.70","105.60","3,04,10,585","5,35,89,26,345.45","2,01,390"
"24-May-2024","EQ","174.95","177.55","174.15","175.50","174.90","174.85","176.15","177.55","104.30","3,86,74,485","6,81,23,56,745.80","2,27,760"
"23-May-2024","EQ","173.05","175.80","170.50","173.30","175.15","175.50","173.37","175.80","104.30","4,93,77,680","8,56,04,07,772.75","2,59,776"
"22-May-2024","EQ","175.45","175.50","171.50","174.35","173.05","173.30","173.10","175.50","104.30","4,29,19,832","7,42,95,55,143.25","2,98,848"
"21-May-2024","EQ","168.50","175.20","167.95","167.90","174.00","174.35","172.79","175.20","104.30","8,48,33,644","14,65,84,80,689.45","4,50,461"
"18-May-2024","EQ","168.00","168.30","167.30","167.35","167.80","167.90","167.97","170.75","104.05","36,01,856","60,49,92,471.00","41,951"
"17-May-2024","EQ","166.60","168.45","165.45","165.90","167.20","167.35","167.21","170.75","104.05","3,91,81,277","6,55,16,40,449.55","2,07,093"
"16-May-2024","EQ","167.25","168.00","162.30","165.60","165.85","165.90","165.10","170.75","104.05","4,11,26,570","6,78,99,14,756.65","2,45,941"
"15-May-2024","EQ","164.95","167.55","164.95","164.95","165.85","165.60","166.13","170.75","104.05","2,96,01,304","4,91,77,56,615.05","1,74,079"
